Y;X;Total
5081002.10698218;76313.5357395031;62
5093446.46530029;79877.9420346096;2
5078095.50272591;76673.4245041715;19
5075140.77768899;75318.956943257;30
5070556.97665494;72889.7851416404;1
5082013.7612086;76039.6932062376;254
5081184.38616165;77409.3206817345;269
5087839.11763988;150190.276285222;10
5067888.55083207;75830.7566592138;6
5106237.40211559;-193501.944991976;12
5102163.79740611;-194300.010358749;9
5103745.39398974;-188939.988918917;111
5059429.41497679;72865.613138321;10
5100880.98582812;-176751.337188823;1
5085386.37068017;150439.597544534;2
5049795.03489359;186488.075387182;1
5054375.57537586;71115.2760274088;1
5054486.70475231;71119.4297392174;1
5053480.710614;71238.1185181468;2
5161857.03591262;186937.801388752;7
5083507.41823866;-170354.68320452;1
5162070.3854151;187401.912837843;112
5161960.72501705;187323.122871893;11
5162070.3854151;187401.912837843;12
5161963.70627302;187169.861314355;3
5162073.36472212;187248.654095001;42
5080128.23206775;88261.9880820458;1
5080995.6245801;88914.4941752845;1
5081104.05317586;88996.0449619965;1
5081104.05317586;88996.0449619965;2
5081101.34957727;89073.7262366087;1
5081101.34957727;89073.7262366087;1
5081212.48276563;89077.593030654;1
5081209.78014397;89155.27291413;1
5081320.91334941;89159.1383811936;1
5081318.21170467;89236.8168735096;2
5080128.23206775;88261.9880820458;1
5080019.8124944;88180.4125256118;1
5080025.24215934;88025.0221593656;1
5080239.36502625;88265.8685188478;1
5080887.19697834;88832.9406705866;1
5079171.56732615;86983.7660981069;1
5079494.05955712;87306.281172473;2
5079385.65181482;87224.6809650962;2
5079274.51900697;87220.7829522741;1
5079385.65181482;87224.6809650962;2
5079274.51900697;87220.7829522741;1
5079277.24506708;87143.0780405465;1
5128744.30356641;138260.482916588;1
5162079.33500273;186942.136632623;1
5161966.69141787;187016.59976458;10
5161963.70627302;187169.861314355;19
5161857.03591262;186937.801388752;34
5161965.19835934;187093.230538496;4
5128517.81829674;138408.555369354;3
5128769.59319301;137335.711571032;1
5161860.02689531;186784.537032099;6
5161858.53091785;186861.169209453;5
5161863.0217669;186631.272683232;5
5161968.18544861;186939.968992608;7
5161857.03591262;186937.801388752;4
5161861.52384499;186707.904856693;1
5060385.24949601;-59194.3533767062;1
5107720.24809173;98055.1395030707;26
5076918.11431838;165235.016568387;2
5073056.78365948;168882.323210043;3
5049571.29890075;186561.918823972;3
5195411.72518201;-661336.632712199;5
5194647.06165697;-661538.31640661;5
5205254.7544577;-675708.947324967;1
5168475.92304906;195643.277294998;2
5161969.68045158;186863.338222581;2
5162077.84097425;187018.765995302;1
5161969.68045158;186863.338222581;1
5196312.51602263;284306.911616992;1
5161857.03591262;186937.801388752;111
5105163.90603095;-194057.235896118;2
5199527.78415927;286906.738377698;1
5199636.71017153;287668.461776052;1
5161861.52384499;186707.904856693;5
5072943.94893904;168957.649065456;2
5073056.78365948;168882.323210043;1
5168475.92304906;195643.277294998;7
5053440.00727798;72330.6040979013;1
5156965.99202929;161136.853074796;1
5171079.51182406;199287.662811224;2
5171974.09070427;198997.228912865;1
5170801.80062719;202497.422285901;1
5155168.48834749;166697.970118501;7
5058100.28612021;-137891.744255744;3
5057766.9249975;-137915.348240072;2
5058211.4064954;-137883.875991258;3
5105411.25899415;-194349.524133929;7
5177025.50149883;233488.871458541;8
5178949.46125016;240312.731065744;1
5177134.84437931;233643.04927828;2
5088955.79080339;93619.2577855433;3
5155168.48834749;166697.970118501;1
5059784.2300181;176076.019434118;2
5053322.69619626;182263.288017384;2
5094510.28656467;145859.659272763;24
5084057.05015719;-170234.31333101;18
5104434.47668135;-193335.392321901;1
5105411.25899415;-194349.524133929;5
4799349.26486339;-379474.53026581;1
5093452.11459284;79722.8813766566;1
5054961.08229899;73324.6259799971;1
5166224.72362543;210462.046454665;2
5165373.42829851;195050.859412436;1
5105157.62776517;-193979.664079517;24
5105052.79096177;-194066.229514888;4
5076019.57569952;-176179.338851947;0
5097816.39876723;-179021.653329418;1
5067568.6374741;-176754.052485562;1
4804497.30747639;-385954.462976049;1
5077439.9707908;85599.9555560948;2
5190252.69619154;255840.299983427;1
5194881.42998305;-661579.788942508;1
5311462.86543303;-370692.170999278;1
5319446.59180045;-378278.036120197;1
5314278.52938203;-374549.757705803;1
5167839.73313713;193947.000218555;1
5074690.50663422;75458.0699893656;2
4765896.49134816;-721526.223732282;1
4764683.20766922;-723310.118513034;3
4766450.4356938;-724481.337666746;1
4751821.76491149;-736219.172609318;1
4764152.72815338;-722038.727636728;1
5057586.67645712;71547.6956901894;1
4744501.71357327;-739011.7791103;3
5197319.47801611;282482.291173;1
4791538.15675685;-439975.613015497;0
5057167.95650395;-135759.398042168;1
5057544.68425142;-137931.083555326;1
5256758.7605373;314829.033402575;1
5126399.82868345;138582.314220421;1
4803004.3405331;-387836.188759555;0
4795320.01162042;-390681.394288235;0
4767542.83868522;-652434.693744305;1
4805967.48363206;-392639.311061045;0
4739616.53407096;-739830.041821023;0
5054794.00369695;1707.25022179284;2
4819478.82031706;-390755.330188185;0
4724909.85641986;-722000.814073272;0
4821683.03066307;-391432.133138608;0
5192147.37632848;255245.858118163;1
5188951.20672527;252015.515097775;1
5049338.82953468;-93891.1918744845;0
5049118.51857595;-92178.1239610714;10
5184301.16519378;249913.301360915;0
5052074.00013184;70169.4876354656;0
5085687.05275742;14884.1901483579;1
5049166.37159514;-94687.2186751239;2
5186645.301041;248866.355981242;9
5046049.72328083;-159673.772643826;1
5085198.03748909;-170538.215080353;6
5084987.73020474;-170710.85988571;118
5084501.52302098;-170200.272850851;37
5100251.36262027;-182970.305634283;2
5085663.54949193;98868.8197563002;65
5075359.20316608;97592.2814906452;1
5064869.46589424;95215.3919013884;2
5140757.35549041;155366.009548827;1
5178115.62696628;245729.919633261;40
5178005.97645242;245575.992598455;1
5194032.64910293;255794.993726881;1
5187514.99677207;251010.938177412;0
5194479.15493144;255570.016001441;0
5190052.80731772;268270.131566162;0
5193257.68412885;255407.507141329;0
5125531.7122215;137787.084162983;1
5143508.61644763;165970.849060222;1
5151072.44103032;170829.246847926;2
5153724.74970436;171578.842390712;5
5128549.87635819;141340.079961563;0
5187736.62441567;251089.226241444;1
5194143.80617483;255795.904414397;10
5189395.83127542;252019.432612893;1
5197991.39865887;281190.05742511;0
5194253.71649785;255949.234499766;1
5163225.58354149;190949.906984979;4
5210104.19954927;282150.040896236;1
5145278.18363387;166395.709122169;4
5194143.80617483;255795.904414397;26
5211011.20120925;277897.736043086;0
5193919.6233397;256022.72488144;0
5188284.2704197;252009.639410163;0
5143402.49292329;160969.07034152;1
5171091.65623248;205104.469773207;1
5200341.28366282;277545.013453709;3
5142357.15115834;158174.868358246;1
5194032.64910293;255794.993726881;1
5187626.1526528;251011.935642089;16
5193032.86118182;255710.572942019;0
5126110.65148814;136954.189042023;2
5172140.82374127;202214.073306136;3
5169947.55748609;207075.745517323;1
5148651.05140626;169699.981093337;2
5194143.80617483;255795.904414397;10
5192803.11319078;256623.486397742;12
5038535.75931056;87675.7384410189;1
5163354.12951142;190032.650720019;3
5204759.01260672;284792.329168511;3
5143984.95605229;164597.45144716;1
5196439.57898595;260766.821807082;9
5170688.83909097;209383.831086101;0
5187514.31263175;251087.23412564;20
5187623.42192544;251317.113781036;1
5197111.61552611;260086.179424163;1
5161713.76687756;182948.449541322;1
5140701.12004705;157673.226325795;1
5193921.4920503;255794.083054403;14
5188728.89456555;252013.5564374;2
5125753.99542604;137793.157036867;3
5206759.62749184;284875.092148487;6
5171315.25989939;198526.457219731;2
5189174.19142394;251941.199089791;4
5172083.89932211;199075.681094599;28
5168790.80671306;209889.697109043;3
5194367.37102557;255645.309289309;0
5138380.82147797;152536.186148226;1
5168631.20511363;205982.529773263;0
5178227.53236574;245654.597130264;13
5193031.61243479;255863.023490909;11
5128549.87635819;141340.079961563;0
5144843.74878864;161156.97235253;1
5194461.9721738;257703.808281057;0
5147985.88234245;169608.322918228;1
5128228.8436768;140868.736416021;0
5127914.39611516;136078.123204232;2
5200423.30846497;284930.045896752;0
5169780.08506436;218018.917751222;1
5171078.17266084;199364.175474191;2
5178117.13053314;245577.087538482;24
5194479.15493144;255570.016001441;0
5193809.71114064;255869.387755125;0
5127886.80221749;137080.10482972;2
5178229.03787175;245501.767864177;6
5129220.85649439;141203.814432615;0
5189175.53926166;251788.649626526;1
5130432.44182007;145861.98246235;1
5154959.20701773;171068.662309265;3
5127215.72074476;137215.964499673;10
5142316.0008372;164635.8789518;1
5171864.28308177;198918.77394041;13
5163880.96357027;191575.32058745;2
5161278.98011148;188076.552964213;2
5165678.11634317;190613.08514331;1
5207430.77579684;283660.685646671;1
5152150.18564676;172388.978396928;1
5141781.09207275;159007.293248402;2
5194031.40232811;255947.418777022;0
5188726.88298849;252242.397625773;7
5187516.36796643;250858.346284018;1
5095091.96051782;99725.7790214845;1
5145594.16401446;167171.735866319;3
5143752.33793494;160285.149008981;1
5166788.88116371;209934.777929171;3
5203975.28555975;286539.64557414;30
5167139.28203493;208868.167814292;2
5144074.82632642;160754.260114605;0
5193023.59026247;256853.95215116;0
5194024.27193065;273629.333731617;1
5199537.19920454;262845.578614594;1
5147002.72029178;168817.79665516;7
5145149.58010352;167161.662744047;10
5140912.20712178;153599.907224293;1
5193920.86817567;255870.296995792;1
5194031.40232811;255947.418777022;1
5194023.39297317;256938.181695693;0
5187625.4685141;251088.2301753;5
5160582.67926072;189596.631882807;2
5145777.50383456;164023.751903771;1
5154171.0273689;171511.884405567;15
5206430.6105732;283581.082673702;4
5178229.03787175;245501.767864177;8
5194143.80617483;255795.904414397;18
5188949.19515727;252244.347794848;5
5187515.68188363;250934.642230205;0
5171446.7705185;203809.365436895;9
5169249.93832892;208978.285888458;1
5193921.4920503;255794.083054403;2
5194032.64910293;255794.993726881;14
5193248.35499259;256550.843794934;0
5187292.68506825;251008.943297586;7
5173948.95116818;221979.82753555;0
5143128.13466849;168038.829523134;0
5130001.93895589;145311.08319259;2
5206882.61532833;281605.445499759;4
5139128.16732778;153786.497036434;5
5202648.8003507;284252.538171356;0
5170576.47632212;209458.588358612;2
5194464.98468628;257322.773891315;0
5188728.89456555;252013.5564374;1
5131918.81989895;148598.237554875;1
5201874.17607891;283260.419831653;6
5207435.78853678;282291.968292776;5
5150718.7171096;171743.203582238;3
5178229.79208192;245425.353232739;2
5178229.03787175;245501.767864177;6
5192917.96970654;256167.021145929;0
5196780.79501109;278290.544451211;0
5200981.41934586;284246.797237831;1
5179781.44107781;245899.09332031;2
5167011.18323707;209938.2728992;5
5142875.2740381;164494.933835124;0
5178228.28463302;245578.182496684;5
5189179.60608378;251331.001261083;2
5084205.90907102;99208.9591632132;1
5153386.2500268;171801.74077081;14
5142917.97217842;167495.691188815;19
5083875.08502562;99120.2499277825;3
5163791.46379293;190424.132536075;3
5172615.64975324;200462.3078777;24
5169947.55748609;207075.745517323;8
5194143.80617483;255795.904414397;8
5187618.00709012;251927.470107507;0
5129669.55652888;141061.622666283;1
5206265.33775292;271183.253579793;1
5126185.94025105;138267.882618782;1
5194019.75169989;257395.456942552;0
5194031.40232811;255947.418777022;2
5128210.26651263;141562.365946064;0
5194032.64910293;255794.993726881;2
5136596.70646269;148332.991753835;0
5187624.10315042;251240.819244776;1
5187912.84377999;256507.833561778;6
5100607.68559123;101149.379217083;1
5142183.53525558;160786.367346894;2
5167911.61541153;216537.274892517;1
5180993.75251001;246980.39015602;1
5141919.6227954;162549.584141398;1
5142538.29161735;164641.00325042;9
5178228.28463302;245578.182496684;8
5194032.64910293;255794.993726881;5
5142654.75769194;164412.922743733;0
5178115.62696628;245729.919633261;5
5178005.2241814;245652.410058564;8
5188728.89456555;252013.5564374;4
5127230.54503565;136676.376914621;0
5127435.89044047;137299.142564852;0
5178228.28463302;245578.182496684;2
5194138.22629248;256481.804418728;0
5178005.2241814;245652.410058564;3
5169774.04348455;197657.188811483;0
5140783.89855132;154289.309066632;1
5178005.2241814;245652.410058564;7
5193921.4920503;255794.083054403;4
5128885.36587036;141271.942760461;0
5170923.37395122;201887.196091714;3
5083988.79757735;99046.2989341743;3
5172326.4500767;197932.1262578;1
5161860.02689531;186784.537032099;1
5146693.46284583;167734.723920125;1
5162055.54721262;188168.206668143;2
5173155.57865635;201389.766506798;1
5126437.7288371;137194.626890388;1
5178128.53114401;244430.846964721;0
5127771.42975208;137231.207190247;6
5140254.68211925;157739.387601691;1
5194030.78039734;256023.631303529;1
5194032.02522997;255871.206251473;3
5189617.47218108;252097.660540446;3
5187825.74872687;253607.849089833;1
5205871.63450255;284491.820444318;10
5144595.59200834;167072.216651789;10
5194032.02522997;255871.206251473;1
5170575.26632459;209535.105504964;3
5166175.29018145;193763.212899438;0
5188506.58248275;252011.597841814;3
5160471.52993604;189594.514237067;1
5188728.89456555;252013.5564374;1
5104678.92418678;102523.408115852;0
5131091.28042409;146187.476889431;1
5083981.06452454;99279.2225512872;1
5134598.10252323;148204.625482845;5
5170567.1214273;196829.301517696;1
5144505.41883505;166147.412880905;4
5169004.70043182;210428.954415028;2
5142116.8300091;163631.212175835;0
5139921.47731378;153190.454228879;1
5127739.82473129;138387.360794221;2
5187626.83776274;250935.641109896;1
5178838.30717047;240311.53847252;1
5193921.4920503;255794.083054403;3
5188617.06701613;252088.858941809;2
5175318.73669693;227657.291615969;5
5193034.74158572;255481.897125862;0
5145689.681481;167865.828403752;8
5156688.85541547;173332.256631885;6
5143814.08961954;167208.312922415;1
5206430.6105732;283581.082673702;1
5147106.99269651;169127.579248238;3
5178243.53398219;244049.890051596;62
5175229.11460888;234996.865116824;0
5194350.21541207;257779.141268145;0
5166236.74203348;209696.324419942;1
5177533.74743542;237622.375139571;1
5203417.65797732;287146.670843581;1
5142916.33527387;162726.740909069;6
5177894.07011797;245651.316549943;26
5128622.00359875;142807.277504843;1
5135767.63229985;150314.276132154;1
5172602.44799219;201227.237116804;19
5170407.12006406;206164.7145783;1
5171795.68352581;202896.920261449;4
5171879.87610853;204505.331624731;1
5173524.50560453;220520.631311824;1
5170103.99904275;204322.679137357;1
5169420.59089932;205306.486454881;1
5170690.05102954;209307.31535407;0
5164481.69911369;189211.186871578;1
5193921.4920503;255794.083054403;7
5193576.33335305;257239.496930424;0
5178116.37826399;245653.503585338;31
5190942.99339774;268123.052314958;0
5188927.00776169;254837.786358656;0
5169856.07816418;212891.693083749;1
5188047.40962015;253686.036815473;0
5129319.62865319;141669.12778808;94
5153286.9168832;171262.089616523;2
5204938.86229899;269882.50100876;1
5169707.98187407;208143.539307194;1
5173214.8351837;218833.357928569;1
5200647.16220089;284474.028051853;1
5160920.51325459;189373.054462148;1
5178228.28463302;245578.182496684;1
5157649.49103837;175194.498987912;0
5177896.32985098;245422.059933132;41
5188045.46211572;253914.903541672;1
5188728.89456555;252013.5564374;1
5126525.67163192;138045.690834485;7
5147987.59350164;169531.51086115;1
5171561.77358576;203581.711408538;3
5162589.22058774;189328.268068079;1
5166976.68270287;212158.580942472;7
5178005.97645242;245575.992598455;32
5192478.95741543;255477.316259843;0
5193921.4920503;255794.083054403;7
5128208.20724997;141639.435904705;0
5169567.66243075;209978.473422289;1
5170358.07216442;216496.544027228;1
5170968.3603333;199285.716514652;5
5162949.18578621;187955.514343767;1
5200546.54790489;281580.797602591;4
5162482.46835017;189096.272594588;3
5207495.52963874;269897.475228042;2
5144262.68003217;162219.887273352;1
5178117.88377374;245500.671492697;1
5178228.28463302;245578.182496684;1
5187401.79139848;251238.832821955;37
5196891.01436035;259855.988814204;17
5077656.77182277;98758.2506469702;1
5038747.21169939;87996.2627216996;1
5166956.83825964;213460.141446997;5
5192919.83263537;255938.341062835;0
5194576.74728238;257247.450842546;0
5178339.43875206;245579.277473062;3
5187403.84091055;251009.940729245;6
5178116.37826399;245653.503585338;14
5191722.02766726;267975.335481582;0
5172257.19406127;201909.9775197;12
5194143.80617483;255795.904414397;3
5187187.03737148;250397.54437411;1
5178243.53398219;244049.890051596;62
5146125.21924184;163416.783556068;2
5201002.79785693;278766.01120764;16
5202318.26402628;283414.234513229;4
5202205.48688966;283870.474866655;10
5178005.97645242;245575.992598455;4
5193920.86817567;255870.296995792;1
5190609.05643185;268197.265450484;0
5189175.53926166;251788.649626526;8
5187935.60346614;253761.37913614;3
5169346.5636974;209898.44442946;2
5169761.84208634;198345.95499133;1
5167950.56073305;206813.662924536;2
5193921.4920503;255794.083054403;2
5193809.08823544;255945.603114244;0
5194032.64910293;255794.993726881;4
5193478.11470833;255638.001301066;0
5187608.68069838;252995.593832741;0
5126681.20444339;136429.813559749;1
5150862.04326761;170286.907031293;1
5167539.50949587;211707.782407407;1
5145724.5186028;166328.997182359;1
5178004.47288183;245728.827519739;2
5193920.24527214;255946.510938137;1
5154277.1146614;171744.525289762;10
5206168.87160027;268672.752662172;1
5196877.54378512;261684.205921525;1
5167273.01543124;214613.561999525;1
5178243.53398219;244049.890051596;59
5192578.35246985;256926.620373948;0
5194143.18230354;255872.115522169;2
5188617.73851454;252012.577131509;2
5189624.91192955;251258.700795259;1
5084771.89544805;98916.8790639542;2
5154858.24103186;170605.859610278;1
5166324.8324173;191697.744585396;3
5152259.65679136;172468.163550254;1
5174688.56646316;233690.581213338;1
5171479.72230485;215824.290145698;1
5187509.55084426;251621.305791644;8
5189070.49649656;251101.180738098;1
5130064.80940487;142922.653001123;1
5129970.04352448;142303.325436469;4
5167491.10400588;207725.120177543;1
5202096.21952922;283337.329991481;40
5203313.18293611;285015.757838118;1
5125326.31293924;137164.14915846;2
5141948.52293777;161319.336077082;3
5178229.03787175;245501.767864177;1
5193363.21737087;256094.414023412;0
5168711.13436649;215094.403184922;0
5142292.86002666;160865.88598182;3
5154171.0273689;171511.884405567;1
5154933.90618534;172219.513132495;0
5143619.33148998;161204.93862975;0
5165725.06115512;194061.360076747;0
5070320.13798499;95243.0004823675;1
5126070.59921426;138419.050193596;1
5139561.31009656;154259.063487499;7
5092101.61482031;99315.9541150007;1
5128208.20724997;141639.435904705;1
5171508.11227921;200213.532603922;1
5192693.18566655;256470.132405414;0
5193363.21737087;256094.414023412;0
5177895.57563519;245498.478804334;1
5187405.21210815;250857.346005863;2
5178229.03787175;245501.767864177;9
5184727.28741349;251978.31411259;1
5091553.68078153;99064.8353746541;1
5102481.6700095;101676.279468017;1
5161541.59175609;186011.662092359;1
5152411.29906623;170628.450327812;2
5200315.79002896;283863.848648279;8
5178177.97240995;239693.055886242;1
5181981.06867736;248364.619844941;1
5170800.50227977;202573.937849054;3
5170407.12006406;206164.7145783;1
5169265.83215644;207983.343058904;3
5194143.80617483;255795.904414397;7
5194141.93747424;256024.537740586;0
5150532.01004623;170125.951533745;3
5169472.24115203;208981.81884102;1
5170492.18935398;207773.422117136;1
5170554.8450584;210835.897244339;1
5197334.9067837;278673.853348535;2
5193132.91922507;257083.51448824;0
5194033.27394699;255718.781203249;8
5189176.21463733;251712.374896412;4
5145193.4065078;165240.448339955;2
5172567.73269483;217447.007449717;1
5196892.97073768;278062.513695132;15
5202870.85667798;284329.401689882;22
5146584.05118509;167655.384696931;1
5170943.30906957;214515.385007453;1
5178005.2241814;245652.410058564;18
5178726.33382741;240386.754768441;3
5178005.2241814;245652.410058564;35
5137308.06215327;150969.349581532;0
5188728.89456555;252013.5564374;2
5173498.04476962;222432.577394467;1
5170545.31361822;198053.616380649;1
5178116.37826399;245653.503585338;35
5199092.56659586;262842.455394432;0
5178005.2241814;245652.410058564;20
5160475.91587863;189364.566746525;1
5142855.87306627;160571.524647773;6
5161630.257699;187163.371294475;1
5161413.93308163;186852.493748123;11
5193247.74081902;256627.066246093;0
5104454.10709667;102593.484920604;7
5170008.22432113;203402.520491503;1
5210215.35956852;282150.463995639;1
5163227.02787035;190873.29297822;4
5191388.08835602;268049.529960883;0
5190142.78862533;255686.867042199;21
5193468.21806456;256857.515118109;0
5188728.89456555;252013.5564374;1
5179891.09976842;246052.969790991;1
5161951.80458227;187782.90759099;1
5170688.83909097;209383.831086101;1
5194032.64910293;255794.993726881;1
5103916.24355847;102033.499422434;1
5084205.90907102;99208.9591632132;3
5166892.82707283;210395.907833957;4
5160955.9155384;187533.610518516;5
5178116.37826399;245653.503585338;1
5132613.38155194;147537.13776316;1
5154967.68925456;170685.045473816;1
5171031.9142618;202042.119821021;4
5199092.56659586;262842.455394432;0
5194135.16034594;256862.860009898;0
5182537.56140354;248293.484003927;1
5171505.45827081;200366.546676572;7
5139505.75588947;152025.518197985;3
5149636.0239345;170413.371550619;1
5193804.75508973;256479.110654758;0
5178226.7810699;245731.01176491;4
5178243.53398219;244049.890051596;97
5193805.98827588;256326.679924148;0
5188617.73851454;252012.577131509;1
5189579.57210821;256597.539572468;2
5092321.30660035;99400.8830217248;1
5171796.75520786;224934.236806373;2
5170297.88077857;220705.075338838;1
5205090.7280194;285325.935508977;5
5201546.3855121;281736.917670945;6
5162132.9380533;189932.795973494;2
5168527.59666898;205521.445153018;2
5128247.821654;136087.33274352;1
5178227.53236574;245654.597130264;7
5178005.2241814;245652.410058564;16
5194032.64910293;255794.993726881;3
5083650.2395944;99190.5150868345;1
5203531.58870984;286233.926433233;14
5126292.88250765;138425.101195376;3
5194032.64910293;255794.993726881;1
5194691.55734939;256791.11045524;0
5193132.91922507;257083.51448824;0
5152722.73657194;171633.602008629;1
5162242.63171908;190011.535394124;1
5172642.80312472;219972.760362432;10
5176768.58796121;236467.169214749;4
5172790.88194239;203219.803615692;1
5175763.34907727;227662.991886341;1
5201320.04747019;282801.70756213;14
5205767.25485961;282589.913856784;40
5146695.19738196;167657.895014769;1
5178004.47288183;245728.827519739;31
5170839.84383246;221707.483292554;1
5126204.88589448;137574.013803904;3
5171486.9890664;201437.645387949;1
5149381.58750791;171867.530806291;1
5178005.2241814;245652.410058564;40
5154024.64187215;173120.867617614;0
5145698.5703665;162638.006842572;0
5170708.92801879;201424.297899553;1
5202175.12564835;267354.673923895;1
5205063.83092182;267601.022914456;1
5209575.75437614;275838.854520009;1
5198314.46027477;262836.990255158;1
5167031.78729658;208636.713631589;1
5209992.17632404;282377.639517305;1
5188506.58248275;252011.597841814;2
5154716.65355342;171984.468744261;1
5174059.50658458;230547.454840179;1
5205312.79876832;285402.728472409;3
5170981.77082585;205026.117950393;7
5193578.15546589;257010.842307346;0
5193799.8611889;257088.833614894;0
5178117.13053314;245577.087538482;1
